,Radius (ft),Length(ft)
0,56.16967001,3.28084
0,51.26640606,3.28084
0,50.92468339,3.28084
0,49.5448948,3.28084
0,47.79933961,3.28084
0,45.66403328,3.28084
0,45.88334981,3.28084
0,49.94893101,3.28084
0,54.01451221,3.28084
0,168.4384681,3.28084
0,181.8221027,3.28084
0,180.597,3.28084
0,178.8839021,3.28084
0,173.3245395,3.28084
0,167.7651769,3.28084
0,47.63292438,3.28084
0,28.95706592,3.28084
0,26.07223076,3.28084
0,24.29767097,3.28084
0,23.67014776,3.28084
0,23.67572735,3.28084
0,27.82267227,3.28084
0,32.09619617,3.28084
0,41.03626738,3.28084
0,52.57214187,3.28084
0,57.057978,3.28084
0,65.29071653,3.28084
0,79.65853906,3.28084
0,111.8050785,3.28084
0,138.2189917,3.28084
0,160.9268261,3.28084
0,161.2286917,3.28084
0,153.3454793,3.28084
0,139.0101528,3.28084
0,105.5136579,3.28084
0,71.65630489,3.28084
0,38.27567234,3.28084
0,32.75780416,3.28084
0,31.61540151,3.28084
0,29.88878745,3.28084
0,28.88169759,3.28084
0,28.62225275,3.28084
0,28.55787338,3.28084
0,28.38708106,3.28084
0,29.09716006,3.28084
0,32.38611402,3.28084
0,35.67762152,3.28084
0,55.93833587,3.28084
0,58.98658744,3.28084
0,60.1366241,3.28084
0,58.03069673,3.28084
0,53.9301058,3.28084
0,50.4898885,3.28084
0,30.19085264,3.28084
0,26.89719516,3.28084
0,26.86828181,3.28084
0,28.75211868,3.28084
0,29.45566523,3.28084
0,32.63910206,3.28084
0,36.88153115,3.28084
0,38.26455514,3.28084
0,39.60361995,3.28084
0,58.58824738,3.28084
0,78.75316514,3.28084
0,80.98886477,3.28084
0,77.16752802,3.28084
0,74.47458883,3.28084
0,70.46054274,3.28084
0,48.76562681,3.28084
0,27.16101204,3.28084
0,22.22390611,3.28084
0,21.10994873,3.28084
0,21.08402618,3.28084
0,22.59006536,3.28084
0,26.24936717,3.28084
0,29.81836783,3.28084
0,35.54991575,3.28084
0,43.44508898,3.28084
0,51.51853338,3.28084
0,68.59357916,3.28084
0,85.21193146,3.28084
0,94.12820883,3.28084
0,102.4315325,3.28084
